Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_APH161	0.005255441131272617	0.005762243584073319	0.011746099308113165	0.013517520685470668	0.013179490753495804	0.013639038248886171	0.004821664607166685	0.012773699524250823
R_CYANSTpp	9.47845418501102e-09	9.279809209092551e-09	9.312892928664891e-09	9.160317973547022e-09	9.324476464378421e-09	9.653208028370873e-09	9.46380824645828e-09	9.452175986020172e-09
R_CPGNUtex	0.012888527882848505	0.016894512833131283	0.011936944192604972	0.016917802786250918	0.015559922224413637	0.013952881365262095	0.014679503083681798	0.014988893102569378
R_APH180	0.00516229435463455	0.0057694363476231865	0.011654498939973732	0.013473553892499658	0.012991918510254713	0.01355758375905297	0.004765197559176961	0.012627730493537008
R_APH181	0.005391506344425682	0.005941378962291837	0.011822141457138837	0.013605355055233151	0.013395157695495144	0.0137203930885194	0.0049983912044166	0.012897878805662098
R_CPGNUtpp	0.012888527882848505	0.016894512833131283	0.011936944192604972	0.016917802786250918	0.015559922224413637	0.013952881365262095	0.014679503083681798	0.014988893102569378
R_APPLDHr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CPGNabcpp	0.012888527882848505	0.016894512833131283	0.011936944192604972	0.016917802786250918	0.015559922224413637	0.013952881365262095	0.014679503083681798	0.014988893102569378
R_CPGNexs	0.012888533266416077	0.016894518979139617	0.011936950633209572	0.01691780908486723	0.015559928010637578	0.013952888066002532	0.014679508545158275	0.014988897923479747
R_CPGNtonex	0.012888527882848505	0.016894512833131283	0.011936944192604972	0.016917802786250918	0.015559922224413637	0.013952881365262095	0.014679503083681798	0.014988893102569378
R_CPH4S	6.425831823762326e-18	8.798768069498005e-19	9.038502917756759e-20	0.0	0.0	0.0	7.436215784123035e-19	0.0
R_CPMPS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_CYANtex	9.478454243705414e-09	9.279809143336593e-09	9.312892901292004e-09	9.160318059642236e-09	9.324476524241732e-09	9.653208010718116e-09	9.46380818156456e-09	9.452175930846352e-09
R_CYNTAH	9.706073984280913e-09	9.818752033859476e-09	9.81232796089817e-09	9.81946068392012e-09	9.828018070999788e-09	9.924641552929965e-09	9.69496323823674e-09	9.652536657903194e-09
R_CYNTt2pp	9.706073984106811e-09	9.818752033776908e-09	9.812327961466502e-09	9.819460683533279e-09	9.828018070966774e-09	9.92464155290893e-09	9.694963238221475e-09	9.652536658100779e-09
R_CYNTtex	9.706073944570903e-09	9.818751811607742e-09	9.812327839142654e-09	9.819460800031266e-09	9.828017955015866e-09	9.924641553027412e-09	9.694963276629665e-09	9.652536769877427e-09
R_CYSDDS	9.924822413227719e-09	9.883189016705542e-09	9.891507040838198e-09	9.879947116349087e-09	9.900976327457868e-09	9.958097135608656e-09	9.887966219928513e-09	9.891665781159408e-09
R_CYSDS	0.00252639845677613	0.012893694860157085	0.013421249764137331	0.012362582157430364	0.01345411066351282	0.01004116113373868	0.0039758645220868425	0.008407055360324281
R_CYSDabcpp	9.924822413579324e-09	9.883189016976925e-09	9.891507040411896e-09	9.87994711599928e-09	9.90097632746934e-09	9.958097135369282e-09	9.887966220090101e-09	9.891665781291115e-09
R_CYSDtex	9.924822519380427e-09	9.88318893391238e-09	9.891506946857476e-09	9.87994730472508e-09	9.900976261079109e-09	9.958097013651468e-09	9.88796622358734e-09	9.891665930794602e-09
R_CYSS	0.002526412808708796	0.013068089442502292	0.013472327715908922	0.012624821927910474	0.013484946719783005	0.010116800165208214	0.00398223716876496	0.008416693909661887
R_CYSSADS	0.0	0.0	1.1518570983348176e-20	0.0	2.0164938330430622e-20	0.0	5.721754630901898e-21	6.928977849199349e-21
R_CPPPGO	1.0597641507123011e-08	0.0	0.0	0.0	0.0	0.0	3.419081074890377e-07	4.5686792149890364e-07
R_CPPPGO2	0.0	2.4831851081755133e-06	8.10761803225475e-07	2.955197449114925e-06	3.6507651333228953e-07	1.140907752297591e-06	2.526577271537268e-07	2.7765913252896105e-07
R_CRNBTCT	-6.331740687315346e-17	1.7347234759768067e-18	0.0	0.0	0.0	3.17280923756158e-15	-1.7347234759768067e-18	-8.673617379884034e-19
