Reaction	Glucose	Glucose - Chemostat
R_SS0328	0.0006284539250871013	0.0012015939564245974
R_SS0329	0.0006284539250871013	0.0012015939564245974
R_SS0330	0.005921661249200172	0.007049328233111674
R_SS0331	0.2293703885489013	0.19958252304707247
R_SS0332	0.2293703885489013	0.19958252304707247
R_SS0333	0.005921667351860633	0.00704933433584435
R_SS0334	0.00024326324029038066	0.00023740294079743505
R_SS0335	0.4406355532751196	0.4935360140861543
R_SS0336	9.923047292650063e-09	9.921686245036878e-09
R_SS0337	0.0006284639923327464	0.0012016038934040804
R_SS0338	7.753982898630338e-08	7.810563470821888e-08
R_SS0339	0.3333119270675837	0.4044713834925709
R_SS0340	0.3333119270675837	0.4044713834925709
R_SS0341	0.0	0.0
R_SS0342	0.0012777080734730068	0.0018399071087555105
R_SS0343	0.024018599140879355	0.05988438907606136
R_SS0344	0.0015717034051643266	0.00631266081302595
R_SS0345	0.01066763728514597	0.018144141508160683
R_SS0346	-3.952393967665557e-14	-1.3988810110276972e-14
R_SS0347	0.0023675047875639788	0.00377464545812356
R_SS0348	0.0053338186425730206	0.009072070754080423
R_SS0349	-3.952393967665557e-14	-1.3988810110276972e-14
R_SS0350	1.0293691854457164e-07	4.0717131000178597e-07
R_SS0351	0.00010303289844335572	0.00023395523024098545
R_SS0352	1.1251298681597634e-07	4.167850333113493e-07
R_SS0353	0.0009660865787536106	0.00217480136170069
R_SS0354	0.0009624657782093533	0.002166033732749605
R_SS0355	0.00047175702185438517	0.001400212249478923
R_SS0356	7.707267892943593e-08	3.953279629309576e-08
R_SS0357	7.801057325340643e-05	0.0003006616418714802
R_SS0358	7.114296730792448e-05	0.00021959998360499
R_SS0359	9.252690583050338e-05	0.00022511073189179776
R_SS0360	0.00017647915095952982	0.00032318451871415915
R_SS0361	2.3016336703207685e-07	3.910692027986329e-07
R_SS0362	1.1245858555497534e-07	4.1654618887498884e-07
R_SS0363	-9.521508026466563e-09	-9.374823140007038e-09
R_SS0364	0.0005138527658106185	0.0006680336568563039
R_SS0365	1.0861694315078552e-06	1.491750341253706e-06
R_SS0366	-5.792901713874698e-09	-3.5146623389437078e-09
R_SS0367	-9.437822301450184e-09	-9.328876116043716e-09
R_SS0368	2.0243188915136656e-05	6.859670938719198e-05
R_SS0369	-9.650537480254684e-09	-9.693103653063416e-09
R_SS0370	1.6763203930292292e-05	4.227991156091626e-05
R_SS0371	2.5317165114113752e-05	4.749432891304473e-05
