Reaction	Acetate	Fructose	Galactose	Gluconate	Glucose	Glycerol	Pyruvate	Succinate
R_EX_4abut_e	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06	3.0891505400050053e-06
R_EX_4hoxpacd_e	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05	1.141124975431494e-05
R_EX_5dglcn_e	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06	7.141460504256165e-06
R_EX_5mtr_e	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06	4.269789250059642e-06
R_EX_LalaDglu_e	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05	1.1301328437447744e-05
R_EX_ile__L_e	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06	7.074416693037203e-06
R_EX_imp_e	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06	4.2269117444150906e-06
R_EX_indole_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_inost_e	0.0014912527907357	0.0014912527907357	0.0014912527907357	0.0014912527907357	0.0014912527907357	0.0014912527907357	0.0014912527907357	0.0014912527907357
R_EX_ins_e	0.0014912527907388	0.0014912527907388	0.0014912527907388	0.0014912527907388	0.0014912527907388	0.0014912527907388	0.0014912527907388	0.0014912527907388
R_EX_isetac_e	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06	9.264508853129958e-06
R_EX_k_e	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06	9.264508853129022e-06
R_EX_LalaDgluMdap_e	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06	4.593469910111216e-06
R_EX_LalaDgluMdapDala_e	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06	4.593469910113943e-06
R_EX_LalaLglu_e	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06	2.636011224419991e-06
R_EX_kdo2lipid4_e	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06	-2.636011224685115e-06
R_EX_ac_e	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07	9.372006257628644e-07
R_EX_crn_e	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07	9.372006245584844e-07
R_EX_acac_e	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06	4.664343125208257e-06
R_EX_acald_e	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06	4.664343125207409e-06
R_EX_lac__D_e	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06	4.461719084971464e-06
R_EX_lac__L_e	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06	4.461807294897318e-06
R_EX_crn__D_e	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05	1.1375233102110633e-05
R_EX_lcts_e	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05	1.137523310406078e-05
R_EX_acgal_e	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06	4.593469910112244e-06
R_EX_acgal1p_e	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05	1.870686889957405e-05
R_EX_acgam_e	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05	1.8706868898810832e-05
R_EX_leu__L_e	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06	8.320792303677698e-06
R_EX_csn_e	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06	7.383591679120996e-06
R_EX_acgam1p_e	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05	2.255134216653064e-05
R_EX_acmana_e	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05	-2.255134216600581e-05
R_EX_acmum_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_lipa_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_cu_e	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06	2.773597434559061e-06
R_EX_lipa_cold_e	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05	1.3770195977899243e-05
R_EX_acnam_e	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05	1.3770195977972064e-05
R_EX_acolipa_e	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05	-2.2551342170399e-05
R_EX_cu2_e	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05	2.2551342172326268e-05
R_EX_acser_e	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07	7.101269552711007e-07
