Reaction	Glycerol	Succinate	Acetate	Fructose	Galactose	Gluconate	Glucose	Pyruvate
R_THRA	5.03829582619111e-05	7.64968337375216e-05	5.407606381737292e-05	6.66230765901303e-05	6.867440271068534e-05	9.296255191010816e-05	7.120997412794742e-05	6.892009224962452e-05
R_SPODMpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_SSALx	-1.0075488396412945e-05	-1.4348933124306204e-05	-1.2826869102008704e-05	-1.4917873720965462e-05	-1.841620797928972e-05	-1.7950831341869642e-05	-1.3563582092965956e-05	-1.376691694729494e-05
R_THRD	-9.09262296648746e-06	-1.363219076903673e-05	-1.1340506485431752e-05	-1.3942491790957089e-05	-1.6372316848813735e-05	-1.6852335828002858e-05	-1.3037468734923111e-05	-1.2072785594917486e-05
R_R5PP	-8.31947487869439e-06	-1.301316739364791e-05	-1.074014134967949e-05	-1.267303386136766e-05	-1.1653359904891068e-05	-1.4523556533805868e-05	-1.0727472988050074e-05	-1.1359525768853436e-05
R_THRD_L	-9.923323514949902e-06	-1.563092164838719e-05	-1.310235560941138e-05	-1.418303135138668e-05	-1.4047009012195202e-05	-1.221408518555469e-05	-1.1844967677065106e-05	-1.2100956983045073e-05
R_THRPtex	1.0854808944145422e-05	1.6013072306926557e-05	1.4165782004534055e-05	1.594946309562556e-05	1.8161844358800805e-05	1.936510689168336e-05	1.4882294835913412e-05	1.4265556258802324e-05
R_THRS	3.45028887129186e-06	6.0238208467661e-06	-6.600295387605229e-06	-2.2285604144475065e-06	-8.349123489689842e-06	1.4343177908680148e-05	8.368618114593237e-06	7.884500402550733e-06
R_THRTRS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_THRabcpp	-8.29905109682031e-06	-1.2846664813200547e-05	-1.0983864643878996e-05	-1.2995167642949678e-05	-1.3603184899640404e-05	-1.5841041122529813e-05	-1.2112552088953723e-05	-1.193587346483538e-05
R_THRt2pp	4.151044989080646e-06	6.043707934732333e-06	1.5286681488054885e-06	8.516596043074886e-06	-5.67772800118155e-06	1.1172464828256089e-05	1.8575868410477104e-06	2.368642859253532e-05
R_SSALy	5.532920617311128e-05	8.020510081511019e-05	0.0006533123029174	7.17144585270708e-05	0.0001402862198936	0.0001003524002117	6.67612911353374e-05	0.000133972457425
R_SUCASPtpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_SUCBZL	-5.4881526734701406e-09	-7.932838618565087e-09	-7.021969706864105e-09	-7.810283579955248e-09	-9.006721574249637e-09	-9.551972633485052e-09	-7.842804890817834e-09	-7.048081717384393e-09
R_SUCBZS	-5.488152705157897e-09	-7.932838613505893e-09	-7.021969734752525e-09	-7.810283480128962e-09	-9.006721641618893e-09	-9.551972572884751e-09	-7.842805044633453e-09	-7.0480814293938084e-09
R_SUCCt2_2pp	0.0001979316529573	0.007514448498554	0.0010221755338926	0.0013271149183677	0.0016062971515468	1.138161856754404e-05	1.0823444283723283e-05	0.0002291311061213
R_SUCCt2_3pp	8.661994277495766e-07	-8.735428954655775e-06	-7.126800095234328e-06	-6.8190332950731206e-06	-1.129652393348819e-05	-3.1191601201493365e-06	4.36090437526073e-06	-4.604629331081295e-06
R_SUCCt3pp	0.0001027930922702	0.001996849396149	0.0006126254047063	0.0008056604019485	0.0009987474373647	4.5535509472807126e-05	5.2951080095289696e-05	0.0001435439276897
R_SUCCtex	-3.981025225915924e-05	0.0044016279444741	-9.02026653484614e-05	-4.886730446718168e-05	-3.2432241792799965e-05	-0.0001213780380881	-0.0001063058239714	-9.251699429083104e-05
R_SUCDi	0.0168888872892617	0.0206669043065546	0.0186431248825444	0.0169526877646376	0.0175120134113238	0.0156983316915659	0.0127896152512143	0.0183452853400642
R_SUCFUMtpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_SUCMALtpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_THRt2rpp	-0.0021799733466016	-0.0038632558811351	-0.0013025876255924	-0.0025643404975472	-0.0004670977680877	-0.0031723800382753	-0.0024282414385725	-0.0043072106210952
R_THRt4pp	0.0022140849290206	0.0039142790176547	0.0013433773860913	0.002617632195256	0.0005112754570484	0.0032377389005456	0.0024715985070595	0.0043715958496345
R_THRtex	1.080667738913993e-05	1.611969146467912e-05	1.4111445701833758e-05	1.5830470927118145e-05	1.809038770358984e-05	1.898024942769555e-05	1.4504634720968744e-05	1.4497370223146013e-05
R_THYMt3pp	1.1121082849699609e-05	2.242565922443729e-05	2.0012623552765565e-05	2.272117164637586e-05	2.5833562107626827e-05	2.79272352761848e-05	2.042786364203735e-05	2.327289592144843e-05
R_SUCOAS	-0.0043630954680731	-0.005309141953566	-0.0053716817611557	-0.0020215474230598	-0.0054101084565923	-0.0001443153136286	-9.432671517484516e-05	-0.0018797541997594
R_R5PPpp	5.261089933692026e-06	6.944087275097246e-06	8.532873823515263e-06	6.200825420853007e-06	4.445910742886523e-06	6.485068521821688e-06	5.723702639565106e-06	4.352603727982805e-06
R_SUCRtex	8.986939307037423e-06	1.5823298008921238e-05	1.2492828247570588e-05	1.1574534955566262e-05	1.3136829029689046e-05	1.830329165015271e-05	8.110054094324914e-06	1.414679053673984e-05
R_SUCTARTtpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_THYMtex	-1.112108284961194e-05	-2.242565922468825e-05	-2.001262355267458e-05	-2.272117164630466e-05	-2.583356210734966e-05	-2.7927235276378748e-05	-2.0427863642071e-05	-2.327289592136267e-05
R_THZPSN3	-7.789775587860584e-06	-1.1927172109166158e-05	-1.0702535356617854e-05	-1.1602011432517517e-05	-1.3615802856639236e-05	-1.4882137309601744e-05	-1.015086161837992e-05	-1.0546797837198075e-05
R_R5Ptex	5.261089933726593e-06	6.944087275140287e-06	8.532873823435816e-06	6.200825420903111e-06	4.445910742834069e-06	6.485068521876192e-06	5.723702639570671e-06	4.352603728038917e-06
R_TKT1	0.0002250212433046	0.0005724907971872	0.000464598725805	0.0007990683402926	1.7872409136475073e-05	0.0007542039320412	0.0006239625793948	0.0010178043623208
R_SUCptspp	8.986939307119044e-06	1.5823298008993392e-05	1.2492828247586324e-05	1.1574534955620405e-05	1.3136829029680628e-05	1.830329165030429e-05	8.110054094412892e-06	1.4146790536772055e-05
R_RBFK	-5.576253645764054e-09	-8.091405113125149e-09	-7.093230873387247e-09	-7.974555138529481e-09	-9.227226929015315e-09	-9.987071924282544e-09	-7.646089873569207e-09	-7.218997709898949e-09
R_SULFACabcpp	-5.169462107882485e-06	-1.2066489738380648e-05	-6.742520629237473e-06	-1.1101606513066064e-05	-5.615581110383496e-06	-1.5142555575724943e-05	-1.3095881778074046e-05	-1.0506103670242266e-05
R_TKT2	0.0002385801677545	0.0005882413311592	0.0004900995579466	0.0008168998632857	3.866363392492252e-05	0.0007414221067458	0.0006274326993024	0.0010381691422424
R_RBFSa	-2.2305013627768574e-08	-3.2365621018894104e-08	-2.8372923869908224e-08	-3.18982202588791e-08	-3.690890825382587e-08	-3.9948289100883276e-08	-3.0584357552614786e-08	-2.887599177245764e-08
R_TMAOR1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TMAOR1pp	3.711437720349062e-06	4.523834234117892e-06	5.34564264810142e-06	6.457109090716394e-06	5.80931960510065e-06	7.476284013419617e-06	4.391714648354949e-06	6.892202262487874e-06
R_TMAOR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TMAOR2pp	6.577465256833341e-06	8.683424942612976e-06	5.883100599290796e-06	8.581879782670325e-06	1.1130400047614549e-05	1.070476381808897e-05	1.004190019823622e-05	4.540446451572589e-06
R_TMAOtex	1.028890297773144e-05	1.3207259176639674e-05	1.1228743247160278e-05	1.5038988873949943e-05	1.6939719652532548e-05	1.8181047832147024e-05	1.443361484735478e-05	1.143264871384525e-05
R_SULFACtex	-5.169462107899869e-06	-1.2066489738393749e-05	-6.742520629203497e-06	-1.1101606513012896e-05	-5.615581110590684e-06	-1.514255557574784e-05	-1.3095881778280027e-05	-1.050610367001742e-05
R_SULR	-8.21104861519274e-06	-9.907633077606788e-06	-1.135371997384832e-05	-7.504409329635973e-06	-1.768385847812382e-05	-6.162685985261095e-06	4.460146473889703e-05	-1.2208766922164805e-05
R_SULabcpp	7.394996318226525e-07	6.159350327852185e-06	-7.712318869854588e-06	-4.4458536188236965e-06	-9.4764317408069e-06	1.9539433459526474e-06	5.877883787142962e-06	-5.820200899446665e-06
R_T2DECAI	0.0004171907827288	0.000239595797457	0.0002900792476077	0.0007565995838999	0.0005277611644687	0.0005593157187647	0.0007290411241422	0.0002180905349089
R_TAGURr	-1.1437941973823642e-05	-2.2346287280625903e-05	-2.1976454533662493e-05	-1.839923049401813e-05	-1.9689367281318678e-05	-1.151062535828198e-05	-1.2060105722955011e-05	-2.512142316196941e-05
R_TALA	-0.0008025750109933	0.0002276694627163	0.0004035797181878	0.0006963181693932	-6.793024025004632e-05	0.000684719100366	-0.0007438293333009	0.0009670229071729
R_TARTD	4.797455167966181e-06	8.177624087209594e-06	6.888722383245702e-06	1.0582184561474684e-05	1.1132517495487158e-05	-6.52230966924494e-06	1.4510683896292629e-06	4.421881500701209e-06
R_TARTRDtex	6.185058163826751e-07	-3.5750001632917083e-06	9.812934244207705e-07	2.270398504811144e-06	-2.7831826971483342e-06	-9.263799327120792e-06	-4.050467038836658e-06	-2.50180622186208e-06
R_TMAtex	-1.0288902977696746e-05	-1.3207259176639674e-05	-1.1228743247222728e-05	-1.5038988873831982e-05	-1.6939719652192542e-05	-1.818104783210539e-05	-1.443361484742417e-05	-1.1432648713990967e-05
R_TMDK1	3.656328814126981e-06	-8.870545444521226e-07	1.1179698978781558e-06	5.83254577474564e-07	-3.124787516551872e-06	-2.0843475998973845e-06	-9.191932362890766e-07	-2.0484400233041943e-06
R_TMDPP	1.1121082849709953e-05	2.242565922441092e-05	2.001262355274874e-05	2.272117164638533e-05	2.583356210763177e-05	2.79272352761515e-05	2.0427863642107427e-05	2.3272895921356163e-05
R_TMDS	-1.1174872231111034e-05	-9.910873170761906e-06	-9.299806982280788e-06	-9.053868360579138e-06	-9.329867737057676e-06	-1.1181542674061036e-05	-9.498925629232402e-06	-5.604652594642788e-06
R_TARTRt7pp	4.797455167966592e-06	8.177624087223577e-06	6.888722383235782e-06	1.05821845614928e-05	1.1132517495473354e-05	-6.522309669232385e-06	1.4510683896448826e-06	4.421881500705225e-06
R_TARTRtex	4.797455167869502e-06	8.177624087175872e-06	6.888722383364965e-06	1.0582184561472308e-05	1.1132517495508754e-05	-6.522309668924309e-06	1.4510683897656085e-06	4.421881500626945e-06
R_TMK	7.784199334567787e-06	1.1919080703869411e-05	1.0695442125849314e-05	1.1594036877609916e-05	1.360657562956738e-05	1.487215023726337e-05	1.0143215529137803e-05	1.053957883943588e-05
R_RBFSb	-1.1152506776195008e-08	-1.6182810450360032e-08	-1.4186461884595082e-08	-1.5949110018955593e-08	-1.8454454081655373e-08	-1.9974144549512453e-08	-1.5292178912470232e-08	-1.4437995731426832e-08
R_TMPK	-5.180019777206832e-06	-8.53850125071719e-06	-6.253529286443328e-06	-6.7557169620050135e-06	-9.975598634670587e-06	-1.022971430348188e-05	-8.195603737446201e-06	-7.339008218857728e-06
R_TMPPP	-7.789775587877904e-06	-1.1927172109149596e-05	-1.0702535356680536e-05	-1.1602011432402856e-05	-1.361580285664626e-05	-1.4882137309606052e-05	-1.0150861618250791e-05	-1.0546797837196308e-05
R_TARTt2_3pp	6.185058164051934e-07	-3.5750001630305266e-06	9.812934244230255e-07	2.270398504864296e-06	-2.7831826970670144e-06	-9.263799327114309e-06	-4.050467038697025e-06	-2.5018062219556843e-06
R_TAUDO	-1.0878458535649078e-05	-1.6073034280374593e-05	-1.3725602375638172e-05	-1.6059108684519172e-05	-1.828343750624605e-05	-1.9720651415403963e-05	-1.5424357137876892e-05	-1.4144936268850906e-05
R_RBK	7.026819062112677e-06	2.686751593540402e-05	7.352906564802067e-06	1.0140519910140343e-05	-1.0049611361658352e-05	-3.3855016723051e-06	-5.724141852667966e-06	6.967078270060975e-06
R_TAURabcpp	-1.0878458535720546e-05	-1.607303428037758e-05	-1.3725602375618366e-05	-1.605910868464494e-05	-1.828343750626885e-05	-1.9720651415394788e-05	-1.5424357137845332e-05	-1.4144936268947734e-05
R_TAURtex	-1.0878458535749924e-05	-1.6073034280250642e-05	-1.3725602375586066e-05	-1.605910868452548e-05	-1.828343750587269e-05	-1.97206514155196e-05	-1.5424357137749922e-05	-1.4144936268868646e-05
R_TPI	0.0078356609820448	0.0003756764611211	0.0004336474959259	0.0047804759576064	0.0029780479858191	-0.0014762947208012	0.0044976299519489	-0.0002399188013592
R_RBK_L1	-9.575243040008462e-09	5.160574221179333e-06	5.738310342333632e-06	-3.540902864726607e-06	1.6902817235814663e-06	-1.4634539919904643e-06	-6.448055473273206e-06	6.339195227372991e-06
R_TCYNTtex	1.1941877163731962e-06	-1.85875068554886e-06	-2.432515251192535e-06	3.696405375147594e-06	1.8561090749380504e-06	5.131335057827202e-06	5.9571569579197625e-06	-4.402221074596702e-06
R_TDP	-5.174443523883917e-06	-8.530409845415104e-06	-6.246436055585278e-06	-6.747742407020793e-06	-9.96637140755573e-06	-1.0219727231185346e-05	-8.187957648464771e-06	-7.331789220950343e-06
R_TDPADGAT	-6.8064405989081725e-06	-7.850242742145316e-06	-8.539184576971871e-06	-9.964685490932844e-06	-1.0101293147211072e-05	-1.141143185634479e-05	-8.31470034258454e-06	-7.916654295346325e-06
R_TDPAGTA	-6.806440598898609e-06	-7.850242742133178e-06	-8.539184576974557e-06	-9.964685490951018e-06	-1.0101293147205976e-05	-1.1411431856394235e-05	-8.314700342559404e-06	-7.916654295297021e-06
R_TDPDRE	-1.8131812036479488e-06	-2.2879401428054062e-06	-2.729913051490824e-06	-2.477157410597528e-06	-3.239930886095535e-06	-3.0502032218515254e-06	-2.5492576547424814e-06	-2.3554414930877145e-06
R_TDPDRR	-1.813181203548743e-06	-2.287940142704725e-06	-2.729913051574073e-06	-2.47715741053502e-06	-3.239930886135093e-06	-3.050203221718008e-06	-2.54925765486278e-06	-2.35544149301109e-06
R_TPRDCOAS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_TRDR	-9.300196190064576e-06	-1.397014865613792e-05	-1.2057060679147506e-05	-1.4371258147560682e-05	-1.4673370431740962e-05	-1.8078696020917688e-05	-1.3295319853943552e-05	-1.3178874225861583e-05
R_TRE6PH	5.751414385985577e-06	8.658306133306114e-06	1.1760271502797198e-06	6.996408416360605e-06	3.69107121291348e-06	2.0772977945663025e-05	6.716071923082596e-06	1.5409455974342584e-05
