Reaction	Fructose	Gluconate	Glucose	Glycerol	Malate + Glucose	Malate	Pyruvate	Succinate + Glutamate
R_ARGN_1	6.628729800467177e-08	3.679094893308921e-07	1.775165847892372e-07	2.031331103524063e-07	1.871457306030012e-07	4.958994903600186e-07	1.3492934514991357e-07	2.716238514286876e-07
R_ARGSL	2.954766914059493e-07	1.3526406570166238e-06	8.189384897300256e-07	6.869656667650437e-07	7.444422251146054e-07	1.23478293372406e-06	3.9290894549709465e-07	7.460808116969975e-07
R_ARGSS	2.954766914059493e-07	1.3526406570062155e-06	8.189384897300256e-07	6.869656667615742e-07	7.444422251007277e-07	1.23478293372406e-06	3.929089455005641e-07	7.460808117039364e-07
R_AGMT	2.213298889567423e-07	9.575148486523018e-07	6.312462130492768e-07	4.811783215913974e-07	5.426638176062921e-07	7.02248519723273e-07	2.411525536759689e-07	3.8622597367417633e-07
R_AGPATr_BS	-8.0523240506003e-10	-4.754534634054952e-09	-3.519076363645013e-09	-3.1636776740007204e-09	-2.8873305135679317e-09	-5.435099415668221e-09	-1.7858809396587014e-09	-1.691592515368212e-09
R_EX_mops_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AGPR	-1.0330586823932564e-06	-5.424651941754455e-06	-3.1756916483022257e-06	-3.858748884689317e-06	-2.977022836806592e-06	-4.73179354316261e-06	-1.407855545029063e-06	-1.2033499174370077e-06
R_AHCYSNS	1.0744366624504733e-07	5.465416358916924e-07	2.961075617838841e-07	2.627862978671836e-07	3.0014089427114266e-07	6.381237680828504e-07	2.1757621956232798e-07	2.476003609972655e-07
R_ASNt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_EX_mso3_e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_ASPt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_AHMMPS_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
