Reaction	Acetate	Fructose	Galactose	Glucose	Glycerol	Gluconate	Pyruvate	Succinate
R_FRUptspp	0.1373824110175198	0.1544915310178952	0.015268037653142	0.0140366100694154	0.0197072360363921	0.0138830197271205	0.015334937586109	0.013788792740928
R_FRUtex	0.245118124816821	0.2623618198711015	0.1633741058592848	0.2172187753519161	0.1903646201622146	0.1758712939100153	0.1713102962411605	0.1935697846636259
R_FTHFD	0.0622049462846757	0.0917420725298563	0.0502515771623134	0.1191849482842036	0.0851354520341558	0.100013661423653	0.0702955584980455	0.1025438481263965
R_FTHFLi	0.0058825521264161	0.0062879867290447	0.0038712658372891	0.0060239811047116	0.005539098752584	0.005460373996442	0.0043158514532007	0.0058669925403683
R_FUCtex	8.660421491057946e-09	8.35895330730807e-09	8.776489091033568e-09	8.019069408504721e-09	8.514896565614551e-09	8.252736272140737e-09	8.793165306997253e-09	8.662469852538381e-09
R_FUCtpp	8.660421491057946e-09	8.35895330730807e-09	8.776489091033568e-09	8.019069408504721e-09	8.514896565614551e-09	8.252736272140737e-09	8.793165306997253e-09	8.662469851671017e-09
R_FUM	0.4611576620844606	0.4178261051031636	0.4527472127998662	0.2947605800300313	0.4130294716395226	0.3297059564693108	0.4842682693873991	0.4709809653745699
R_FUMt2_2pp	1.4746706460883233e-08	1.3499808423834086e-08	1.411149115916988e-08	5.959939237397833e-09	1.1458060399123912e-08	8.885710859093485e-09	1.2490442686212466e-08	1.4204002530069436e-08
R_FUMt2_3pp	0.0	0.0	0.0	2.5978590031651273e-09	0.0	0.0	0.0	0.0
R_FACOAE141	0.0045701575487789	0.0045653587646315	0.0022626209092225	0.0028970266666287	0.0043615029840756	0.0023185706706368	0.0056580484015946	0.0023649090125596
R_FACOAE160	0.0067159800868066	0.0069778612223651	0.004046320603905	0.0055632506727184	0.0070340553214914	0.0047377310581777	0.0074213727395585	0.0048778242866416
R_FACOAE161	0.0024287125311598	0.0027070737725086	0.000848535838918	0.0014382713843386	0.0024439727609543	0.0010307392421107	0.0032051792752877	0.0010640733963574
R_FACOAE180	0.0030270362783871	0.0030981200386181	0.0014600628508168	0.0020593073392222	0.0033124569926131	0.0016473391110304	0.0037075837134308	0.0017452403816644
R_FACOAE181	0.0007935953942253	0.0009383339537831	0.0003025486284473	0.0004768048674291	0.0011900676733349	0.0003137048402333	0.0014895322981304	0.0003392999690659
R_FUMtex	8.992361077986288e-09	8.976032139784706e-09	9.03389429929291e-09	8.557798247821324e-09	8.950930219242537e-09	8.754479585704189e-09	9.011182022788944e-09	9.09951358707417e-09
R_FUSAtex	0.0731744742984867	0.0729087210860417	0.0575630744460691	0.0781763132800925	0.0837635585484175	0.0748300086207953	0.0696293134899939	0.0880991176432528
R_FDMO3	7.892063903374186e-09	7.452646537891561e-09	7.988647735887413e-09	7.3452977441080764e-09	7.534182023764095e-09	6.6632825649875e-09	7.921253611141248e-09	7.715858733605816e-09
R_FUSAtpp	0.0731744742984868	0.0729087210860418	0.0575630744460691	0.0781763132800924	0.0837635585484174	0.0748300086207953	0.0696293134899937	0.0880991176432529
R_G1PACT	0.0368793562554245	0.0412614908668016	0.0303327735374914	0.0411267483340045	0.0405096738912462	0.0374006731421405	0.0394949432268549	0.0442825302933934
R_G1PPpp	1.897049933425312e-08	1.8741890764986654e-08	1.891577848484145e-08	1.7854167962224927e-08	1.863055934147692e-08	1.8182116731580518e-08	1.885840613776648e-08	1.848026000343408e-08
R_FACOAE60	0.0450347700452371	0.0383719427558273	0.0352979260310748	0.0299428271640864	0.0378621325991532	0.0324154562211254	0.0392602171963056	0.0325292359799488
R_FACOAE80	0.0112320516187382	0.00919604270523	0.0092284396999138	0.0076273831204466	0.0100111637675278	0.0080247105148435	0.0103748703509155	0.0090014107263065
R_FACOAL100t2pp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_FACOAL120t2pp	0.0077545263607366	0.0077050626337335	0.0050485912457608	0.0060899820933411	0.0076851741575169	0.0054095361504218	0.0085009797914406	0.0056737767289089
R_FACOAL140t2pp	0.0077128937884418	0.0076548159665159	0.0050497343396995	0.006003207343487	0.0075446727070357	0.0053526125380176	0.0084171041723271	0.005636854588403
R_G1PTT	0.0005059669053319	0.0006406843205653	0.0004605103980866	0.0006452632829498	0.0005756852312167	0.0005820951111373	0.0004417053143656	0.0006334473091533
R_G1Ptex	9.010605594994558e-09	8.783299421111224e-09	8.95475493756237e-09	7.895872622398771e-09	8.670564932700131e-09	8.222585057282572e-09	8.89870310771812e-09	8.521462424582182e-09
R_G1SAT	3.678730277367759e-05	4.1024489144003695e-05	3.271384014169598e-05	4.366977771907976e-05	3.3232206941291587e-05	3.804317671685098e-05	4.284206533022861e-05	4.236172709665143e-05
R_FACOAL141t2pp	0.0089251774787546	0.0089568409632471	0.0061888775635366	0.0073231383782339	0.0090465819453289	0.0066537760490446	0.0093765842426884	0.0070844520972161
R_FDMO4	9.908223699881156e-09	9.907703457539004e-09	9.906942241215825e-09	9.907334358897041e-09	9.907439660103046e-09	9.905404765798517e-09	9.909398533447749e-09	9.90881047448924e-09
R_FACOAL160t2pp	0.0081121971172661	0.0080619960888921	0.0054050080207504	0.0063339399955596	0.0079294093130525	0.005682346323834	0.0087697224313561	0.0060077198835383
R_FACOAL161t2pp	0.0103997060374621	0.0101528086361368	0.0077943243843792	0.0085588488654996	0.010560832194241	0.0079806258546837	0.0107389193044301	0.008516894641504
R_FACOAL180t2pp	0.0098826704173131	0.0098594735752222	0.0068631454624798	0.0079074212350103	0.0097500316525251	0.0071851584905283	0.0104066251293324	0.0075988871987611
R_FACOAL181t2pp	0.0136775766760398	0.0131077688074043	0.0100387255074005	0.0110677470000342	0.0127683781992661	0.0105877563408643	0.0129039111179106	0.0112309918552356
R_FACOAL60t2pp	5.874839398206865e-05	6.460934115091544e-05	1.301625433640318e-05	2.507991126078621e-05	1.244433454399751e-05	1.6906939427940292e-05	9.434032479373364e-05	1.2564143263325882e-05
R_FACOAL80t2pp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_G2PP	1.9512281885052415e-08	1.9491988550552053e-08	1.9491696095386067e-08	1.952887027795664e-08	1.954197901637496e-08	1.950471806139456e-08	1.947730705475564e-08	1.951623653175214e-08
R_G2PPpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_G3PAT120	0.0009292169385546	0.0011009957140585	0.0008347622499736	0.0012411747910344	0.0009633620432506	0.0011197296269037	0.0009941826785636	0.0009886958326847
R_G3PAT140	0.0009225669268304	0.0010910980801971	0.0008349730371637	0.0012205399398644	0.0009426152281682	0.0011064675435701	0.0009803777260691	0.0009813725540865
R_G3PAT141	0.0011056491253379	0.0013342570142814	0.0010237591345744	0.0015030793767838	0.001153379798682	0.0013745302218809	0.0011330321091684	0.0012350513058157
R_G3PAT160	0.0009852726695558	0.0011701422516172	0.0008981287011075	0.001297457239584	0.0009988764046659	0.001181050290269	0.0010378347279668	0.0010525847469476
R_G3PAT161	0.0013029293985648	0.0015346830800118	0.0012463389179995	0.0017244274114957	0.0013473146196817	0.0015988359260045	0.001330321824537	0.0014432283455974
R_G3PAT180	0.001241036020204	0.0014941054102304	0.0011241581057397	0.0016151422696776	0.0012473560222481	0.0014713228364389	0.0012907461775471	0.001314997945877
R_FADRx	9.812526634244595e-05	9.995089690775656e-05	0.0001210477594524	0.0001241358800566	9.88259100646426e-05	9.68067773445272e-05	0.0001447913967564	9.71372011845184e-05
R_FDMO6	8.208870196030498e-09	7.968681848863123e-09	8.430930659875166e-09	8.151152378993421e-09	8.179294577433254e-09	7.365422292858906e-09	8.131966827644802e-09	8.111052719661148e-09
R_FADRx2	6.638938731614842e-05	7.350655433019103e-05	4.035065354190726e-05	0.0001079935264209	6.368212919252546e-05	7.349103922338362e-05	9.127885540509133e-05	5.9958626699310784e-05
R_FALDH2	-6.639106368833136e-09	-6.270814291442495e-09	-6.936236071619639e-09	-6.965717322393594e-09	-6.456723239400831e-09	-6.893413090347522e-09	-7.49749176631731e-09	-6.784333220211103e-09
R_FALDtex	-1.642175195826212e-08	-1.6049265028073023e-08	-1.6720111961632256e-08	-1.6746361408692678e-08	-1.623752377000187e-08	-1.6662279778145717e-08	-1.7282013820008046e-08	-1.6568402427807882e-08
R_FALDtpp	-1.6421752124795574e-08	-1.6049265028073023e-08	-1.672011180897659e-08	-1.674636139481489e-08	-1.623752364510178e-08	-1.6662279778145717e-08	-1.7282013708985744e-08	-1.656840256658576e-08
R_FALGTHLs	-6.639106361894242e-09	-6.270814284503601e-09	-6.936236057741851e-09	-6.965717308515806e-09	-6.456723225523042e-09	-6.893413090347522e-09	-7.497491780195098e-09	-6.784333220211103e-09
R_G3PAT181	0.0016968689045677	0.0019840573261035	0.0015308183102427	0.0021226013856807	0.0016164033439343	0.0019877225268707	0.001620173889805	0.0017964891576503
R_G3PCabcpp	5.538636301920911e-09	2.466625564006602e-09	5.857235994400381e-09	4.070994349198658e-09	0.0	5.533026363807081e-09	3.723405086900281e-09	1.7573846423264223e-09
R_G3PCtex	9.920067656210564e-09	9.919119747792138e-09	9.9176662438083e-09	9.917092258504569e-09	9.929704170019704e-09	9.918242227513474e-09	9.919076893183389e-09	9.919330246077608e-09
R_G3PD2	-0.0021422422043215	-0.0160008845880543	0.0145170213584798	-0.022889828423305	0.0594665632239219	-0.0169329305902682	-7.21682029543036e-05	0.004942832764691
R_G3PD5	0.0005284891427181	0.0002626531517109	0.0004323831439149	0.0005130606496388	0.0219589409358288	0.0003180011377019	0.0003922229012454	0.0003942633138092
R_G3PD6	2.191031417188487e-05	1.1320179862374348e-05	2.272146882407188e-05	1.7863625521708976e-05	0.0010812299635767	1.424388416162895e-05	1.805722407753341e-05	2.5451612328890213e-05
R_FBA	0.2401841863572822	0.2546028940511373	0.1586062417014089	0.2025712412192457	0.1556743915185285	0.1390131191012455	0.1904431028266453	0.1726814668852576
R_FBA3	0.0729280313850393	0.0856979097277355	0.0978110252637758	0.1296773597360712	0.118941281806949	0.0980573245934876	0.0893838604387691	0.1082969616507047
R_G3PD7	2.198753860435089e-05	1.1323853094528226e-05	2.183637165770447e-05	1.61771429836243e-05	0.001037310427487	1.406767263240223e-05	1.8696382837803087e-05	2.531068649847517e-05
R_FE2abcpp	0.0001077733441975	0.0001784255281754	8.501773538210737e-05	0.0001199637150873	0.0001421752458054	0.0001143494675047	0.0001529090237153	0.0001097154224052
R_FBP	0.0376104739754938	0.0276658829563985	0.0175659080153775	0.0205706257994426	0.0487023923984582	0.038366857990783	0.0235011704711365	0.0285016578620361
R_G3PEabcpp	0.0006076604415138	0.0002271325895232	0.0004482283628522	0.0002164228092346	5.983552908645466e-06	0.000215546635745	0.0002751158506942	0.0001552313540504
R_FE2t2pp	0.0006030476008552	0.0005341509725534	0.000896856297665	0.0011831039132329	0.0007433109572403	0.0007032297648121	0.0006761541412504	0.0005504239789284
R_G3PEtex	-1.6239356526170923e-09	-5.291441951271736e-09	1.4277383719729642e-09	-3.029690054390244e-09	8.909451620908726e-09	-2.3932589243713664e-10	-9.891900631942008e-10	2.690276890149334e-09
R_G3PGabcpp	0.0013697606466822	0.0006675924256884	0.0008981079993102	0.0005499001527683	1.781809321665346e-05	0.0005724810341481	0.00078279404218	0.0004592988758693
R_G3PGtex	-1.5182159596172085e-07	-2.583510461118266e-07	-7.372254029469617e-08	-1.952877557442889e-07	6.789226292269745e-09	-1.3495355699610914e-07	-1.498837050029067e-07	-1.0669455607903445e-07
R_G3PIabcpp	7.206918573448255e-09	5.260154810754021e-09	5.8787870099303934e-09	4.978232791630203e-09	0.0	4.951928030106689e-09	6.431739497547012e-09	4.06675016951438e-09
R_G3PItex	9.870215533780424e-09	9.867887396097784e-09	9.869611572455028e-09	9.865950723053631e-09	9.895995134456824e-09	9.866330641372656e-09	9.869888462077371e-09	9.870190442740068e-09
R_FCI	8.660421491057946e-09	8.35895330730807e-09	8.776489091033568e-09	8.019069408504721e-09	8.514896565614551e-09	8.252736272140737e-09	8.793165306997253e-09	8.662469852538381e-09
R_G3PSabcpp	1.9611518861922042e-08	1.9573869245447733e-08	1.9590798381498764e-08	1.9567171078153752e-08	1.9088199099422364e-08	1.956898386794008e-08	1.9584396164549827e-08	1.954302617417388e-08
R_FE2t3pp	0.1225028905011929	0.1372834390484429	0.1038291925554826	0.1482535792800646	0.1349316787360411	0.1231859278002189	0.129136768658489	0.1368391913719416
R_G3PStex	9.886799601233063e-09	9.880622986457864e-09	9.883593277137948e-09	9.87779946726164e-09	9.88107906607638e-09	9.87936488172636e-09	9.883111218300657e-09	9.878795115270124e-09
R_G3PT	0.0005936120022556	0.0006077622185216	0.0006410436172751	0.0012603064576941	0.0030396675424309	0.0008452171429054	0.0004535487337799	0.000799630232976
R_GGPTRCS	0.0021278931689443	0.0024388042720716	0.0012068249486216	0.0037743912325984	0.0013078438070359	0.0024988848405856	0.0019147519939447	0.0017254213631861
R_GHBDHx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_GHMT2r	0.044017661558248	0.0548965365939225	0.0397783550482327	0.0728383412410542	0.0591237888030861	0.0655666360960867	0.0470358993567715	0.0662600975841809
R_G5SADs	0.0212338692493659	0.0275952299387771	0.0209572111512762	0.0256567593432371	0.0208432046636766	0.0232994244062785	0.0238596014065521	0.0236657497840301
R_FE2tex	0.0099713876876856	0.0183970695736495	0.0227207672561406	0.0302392491947574	0.0201078557160692	0.0244952764450756	0.0134877942407847	0.0069294971585085
R_G5SD	0.011124404233303	0.0094161588766029	0.0085515751387152	0.0120463569520693	0.0140829265115276	0.0104909301752941	0.0115145668436614	0.0117032189871769
R_G6PDA	0.0269023290299413	0.0280095376384657	0.0205424867668638	0.0261219078936419	0.0282857447538494	0.0261578829596027	0.0336881977689564	0.0252033846747504
R_GK1	0.026296840222906	0.0270634703879472	0.0241523594558586	0.0286245861008568	0.0246964202591455	0.0230317819955453	0.0274910762152844	0.0223969897642744
R_GLBRAN2	0.408550160104024	0.3582456537233694	0.2574821376950842	0.3090842331410476	0.3390717448184525	0.2984520115815791	0.4214538882919866	0.3496882609065541
R_GLCATr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_G6PDH2r	0.152057312176026	0.1627134522921514	0.1317801776035653	0.1803391399221215	0.1579367494765219	0.1837236707069939	0.1794203935139096	0.1569688712715236
R_FE2tpp	0.0034773801857409	0.0038204561611966	0.0056734175655793	0.0056826855523808	0.0043027308159353	0.0038853965101072	0.0043256669762357	0.0041101016301514
R_G6PP	0.0008975260558554	0.0014677024494287	0.0005572301266704	0.0018621974984529	0.0018558159618838	0.0014971068534488	0.0011035125066307	0.0016403554666354
R_G6Pt6_2pp	9.244605965755104e-09	9.224458475256524e-09	9.335847941193897e-09	9.190066541346393e-09	9.225100372755057e-09	9.293374166489144e-09	9.414230960567796e-09	9.132261779152636e-09
R_G6Ptex	9.244605969627172e-09	9.224458530354696e-09	9.335847872549152e-09	9.190066485587069e-09	9.225100461307534e-09	9.293374070296068e-09	9.414230950355318e-09	9.13226183563154e-09
R_GAL1PPpp	1.872808259595327e-08	1.8373524372725185e-08	1.8627342830207632e-08	1.6507486981839293e-08	1.818644866816106e-08	1.7270704620441275e-08	1.850709263225976e-08	1.7949230876856204e-08
R_GLCDpp	0.0025710384992481	0.0013754444998829	0.0024127399097096	0.0024200612006665	0.0016730876180756	0.0034559472515412	0.0016994617605625	0.0016853819741498
R_FE3DCITabcpp	9.826949650346384e-09	9.825822426021704e-09	9.828637403001837e-09	9.833232793365356e-09	9.81824893849082e-09	9.821985889203236e-09	9.831113532715182e-09	9.814859327293136e-09
R_GLCNt2rpp	0.0693033766689942	0.0713964120107019	0.077871142198289	0.0599307802592196	0.0677500422977941	0.186818333197353	0.067608581083654	0.0664692837231428
R_GAL1Ptex	8.76864669763222e-09	8.415438790265739e-09	8.666778850141554e-09	6.5498566570454395e-09	8.226937353583708e-09	7.311754535166415e-09	8.547923480151098e-09	7.990942352265051e-09
R_GALBDtex	1.924015835541581e-09	1.7501553539744916e-09	6.07680328279514e-09	3.5475815618468687e-09	4.0084755514868675e-09	3.271410697891497e-09	2.4482356142385693e-09	4.042780110680155e-09
R_GALCTD	9.727893990217948e-09	9.6956389409335e-09	9.747223580037652e-09	9.671768079227549e-09	9.729366832385246e-09	9.673495481383082e-09	9.697688081722093e-09	9.712889419481932e-09
R_GALCTLO	9.918336614318724e-09	9.917358649298458e-09	9.917731148258491e-09	9.91168840916186e-09	9.913609393197232e-09	9.909916534697776e-09	9.919451638386813e-09	9.916944391008993e-09
