Reaction	Glycerol + Glucose
R_y000217	1.8152887613420496
R_y000218	0.0
R_y000219	0.46682456681946916
R_y000220	0.0
R_y000221	0.0
R_y000222	0.0
R_y000225	0.10629236290658682
R_y000226	45.12011655705041
R_y000227	0.0
R_y000228	0.0
R_y000229	0.0
R_y000230	0.0
R_y000231	0.015499293810047637
R_y000233	0.015499293810047637
R_y000234	0.015499293810047637
R_y000235	0.015499293810047637
R_y000236	0.015499293810047637
R_y000237	0.015499293810047637
R_y000238	0.015499293810047637
R_y000239	0.015499293810047637
R_y000240	0.015499293810047637
R_y000241	0.015499293810047637
R_y000242	0.015499293810047637
R_y000243	0.015499293810047637
R_y000244	0.015499293810047637
R_y000249	0.0
R_y000250	0.3053032666999328
R_y000251	0.0006047173619415277
R_y000252	0.0
R_y000253	0.0006685843094719371
R_y000254	0.0006685843094719371
R_y000255	1.948068575798046
R_y000256	0.00033429215473596854
R_y000257	0.021479675606825666
R_y000258	0.0012094347238830554
R_y000259	0.0
R_y000260	0.0
R_y000261	0.0
R_y000262	0.0
R_y000263	0.0
R_y000264	0.0
R_y000265	0.0
R_y000266	0.0
R_y000267	0.0
R_y000268	0.0
R_y000269	0.0
R_y000270	0.0
R_y000271	0.0
R_y000272	0.2921603596648616
R_y000273	0.0
R_y000274	0.0
R_y000275	0.0
R_y000277	0.0
R_y000278	0.2707582487552921
R_y000279	0.30451325589454603
R_y000280	0.5935263289240081
R_y000281	0.0
R_y000282	0.0
R_y000283	0.0
R_y000284	0.0
R_y000285	0.0
R_y000286	0.0
R_y000287	0.0
R_y000288	0.0
R_y000289	0.0
R_y000290	0.0
R_y000291	0.0
R_y000292	0.0
R_y000293	0.0
R_y000294	0.0
R_y000295	0.0
R_y000296	0.0
R_y000297	0.0
R_y000298	0.0
R_y000299	0.0
R_y000300	2.153590745221691
R_y000301	0.0
R_y000302	0.5935263289240081
R_y000303	0.4263058016662126
R_y000304	0.0
R_y000306	0.0
R_y000307	0.09609404160068459
R_y000308	0.0
R_y000309	0.033755007139253924
R_y000310	0.033755007139253924
R_y000311	0.0
R_y000312	0.0
R_y000313	0.0
R_y000314	0.0
R_y000315	0.02821283068963339
R_y000317	0.015499293810047637
R_y000318	0.0
R_y000319	0.0
R_y000320	0.0
R_y000321	0.0
R_y000322	0.0
R_y000323	0.0
R_y000326	0.027506739860285644
R_y000327	0.0
R_y000329	0.0
R_y000330	-0.02707582487552921
R_y000331	0.0
R_y000332	0.0
R_y000334	0.0
R_y000335	0.0
R_y000336	0.003089007237078651
R_y000336_1	0.0032390938717189676
